,title,star,metaScore,description
0,1. The Last of Us,8.7,,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
1,2. Thunderbolts*,7.6,68,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts."
2,3. Andor,8.4,,"In an era filled with danger, deception, and intrigue, Cassian Andor embarks on a path that is destined to turn him into a Rebel hero."
3,4. El Eternauta,7.6,,Follows Juan Salvo along with a group of survivors as they battle an alien threat that is under the direction of an invisible force after a horrific snowfall claims the lives of millions of people.
4,5. Game of Thrones,9.2,,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
5,6. A Minecraft Movie,5.8,45,Four misfits are suddenly pulled through a mysterious portal into a bizarre cubic wonderland that thrives on imagination. To get back home they'll have to master this world while embarking on a quest with an unexpected expert crafter.
6,7. The Old Guard 2,,,"Andy leads immortal warriors against a powerful enemy threatening their group. They grapple with the resurfacing of a long-lost immortal, complicating their mission to safeguard humanity."
7,8. Mission: Impossible - The Final Reckoning,,,Our lives are the sum of our choices. Tom Cruise is Ethan Hunt in Mission: Impossible - The Final Reckoning.
8,9. Doctor Who,6.2,,"The Time Lord known as the Doctor travels through space and time with his companions, having incredible adventures and facing dangerous enemies."
9,10. Snow White,1.6,50,A princess joins forces with seven dwarfs and a group of rebels to liberate her kingdom from her cruel stepmother the Evil Queen.
10,11. Star Wars: Tales of the Underworld,7.3,,"Follows the galaxy's criminal underworld. Asajj Ventress, a former assassin, flees with a new ally, while Cad Bane confronts his past when meeting an old friend turned Marshal."
11,12. Rogue One,7.8,65,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
12,13. The Wheel of Time,7.2,,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
13,14. Captain America: Brave New World,5.7,42,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan."
14,15. Mickey 17,6.8,72,"During a human expedition to colonize space, Mickey 17, a so-called ""expendable"" employee, is sent to explore an ice planet."
15,16. Attack on Titan,9.1,,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
16,17. Lilo & Stitch,,,"A lonely Hawaiian girl befriends a runaway alien, helping to mend her fragmented family."
17,18. Invincible,8.7,,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
18,19. Rick and Morty,9.1,,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.
19,20. Lost,8.3,,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
20,21. Doctor Who,8.5,,The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.
21,22. The Fantastic Four: First Steps,,,"Forced to balance their roles as heroes with the strength of their family bond, the Fantastic Four must defend Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer."
22,23. The Walking Dead: Dead City,7.1,,Maggie and Negan travel into a post-apocalyptic Manhattan long ago cut off from the mainland. The city is filled with the dead and denizens who have made New York City their own world.
23,24. One Piece,9.0,,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece."""
24,25. How to Train Your Dragon,,,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to both species forging a new future together."
0,1. The Last of Us,8.7,,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
1,2. Thunderbolts*,7.6,68,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts."
2,3. Andor,8.4,,"In an era filled with danger, deception, and intrigue, Cassian Andor embarks on a path that is destined to turn him into a Rebel hero."
3,4. Sinners,8.1,84,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
4,5. El Eternauta,7.6,,Follows Juan Salvo along with a group of survivors as they battle an alien threat that is under the direction of an invisible force after a horrific snowfall claims the lives of millions of people.
5,6. Warfare,7.5,78,"A platoon of Navy SEALs embark on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event."
6,7. Havoc,5.7,57,"After a drug deal gone wrong, a bruised detective must fight his way through the criminal underworld to rescue a politician's estranged son, unraveling a deep web of corruption and conspiracy that ensnares his entire city."
7,8. The Rookie,8.0,,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
8,9. Exterritorial,5.8,,"When a soldier's son vanishes at a US consulate, she illegally remains on the premises to search for him, unknowingly entangling herself in a dangerous conspiracy."
9,10. Game of Thrones,9.2,,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
10,11. The Accountant 2,7.1,58,Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.
11,12. A Minecraft Movie,5.8,45,Four misfits are suddenly pulled through a mysterious portal into a bizarre cubic wonderland that thrives on imagination. To get back home they'll have to master this world while embarking on a quest with an unexpected expert crafter.
12,13. The Old Guard 2,,,"Andy leads immortal warriors against a powerful enemy threatening their group. They grapple with the resurfacing of a long-lost immortal, complicating their mission to safeguard humanity."
13,14. Mission: Impossible - The Final Reckoning,,,Our lives are the sum of our choices. Tom Cruise is Ethan Hunt in Mission: Impossible - The Final Reckoning.
14,15. 9-1-1,7.9,,"Explores the high-pressure experiences of first responders who are thrust into the most frightening, shocking, and heart-stopping situations, day after day."
15,16. NCIS: Naval Criminal Investigative Service,7.8,,"Follows the Major Case Response Team (MCRT) from the Naval Criminal Investigative Service (NCIS), as they get to the bottom of criminal cases connected to Navy and Marine Corps personnel."
16,17. Daredevil: Born Again,8.2,,Matt Murdock finds himself on a collision course with Wilson Fisk when their past identities begin to emerge.
17,18. Star Wars: Tales of the Underworld,7.3,,"Follows the galaxy's criminal underworld. Asajj Ventress, a former assassin, flees with a new ally, while Cad Bane confronts his past when meeting an old friend turned Marshal."
18,19. Rogue One,7.8,65,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
19,20. The Accountant,7.3,51,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
20,21. The Wheel of Time,7.2,,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
21,22. Captain America: Brave New World,5.7,42,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan."
22,23. Attack on Titan,9.1,,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
23,24. Lilo & Stitch,,,"A lonely Hawaiian girl befriends a runaway alien, helping to mend her fragmented family."
24,25. Fight or Flight,6.4,59,A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.
0,1. A Complete Unknown,7.4,70,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
1,2. Happy Face,6.5,,"The story of Melissa Jesperson-Moore, who at age 15 discovered that her father, Keith Hunter Jesperson, was the serial murderer known as the Happy Face Killer."
2,3. Queen of the Ring,6.6,64,"In a time when pro wrestling for women was illegal all over the United States, a small town single mother embraces the danger as she dominates America's most masculine sport and becomes the first million dollar female athlete in history."
3,4. Oppenheimer,8.3,90,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
4,5. Seungbu,6.9,,"The true story of two legendary players of Go ('baduk'), Cho Hun Hyeon, and his protege and future rival, Lee Chang Ho."
5,6. The Two Popes,7.6,75,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church."
6,7. The Crown,8.6,,Follows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century.
7,8. Carême,6.3,,"Born into the tumult of the French Revolution, Antoine Carême would rise from poverty to become one of history's most acclaimed chefs, crossing paths with such figures as Napoleon, Tsar Alexander, and the Rothschilds."
8,9. The Alto Knights,5.7,47,"Two of New York City's most notorious organized crime bosses vie for control of the city's streets. Once best friends, petty jealousies and a series of betrayals set them on a deadly collision course."
9,10. GoodFellas,8.7,92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
10,11. The Wolf of Wall Street,8.2,75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
11,12. Schindler's List,9.0,95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
12,13. Kesari Chapter 2: The Untold Story of Jallianwala Bagh,8.3,,"A dramatization of the life story of C. Sankaran Nair, the lawyer who fought for the truth behind the Jallianwala Bagh massacre."
13,14. Tombstone,7.8,50,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating."
14,15. The Smashing Machine,,,The story of mixed-martial arts and UFC champion Mark Kerr.
15,16. Spartacus,8.5,,"The life of Spartacus, the gladiator who led a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
16,17. The Apprentice,7.1,64,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
17,18. Ainda Estou Aqui,8.3,85,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
18,19. Narcos,8.7,,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
19,20. Marie Antoinette,7.3,,"Follows the famed queen Marie Antoinette, who was the last queen of France before the French Revolution."
20,21. Monsters,7.8,,An anthology series about high-profile crimes or killers that captured public attention and notoriety.
21,22. Rush,8.1,74,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits."
22,23. Hacksaw Ridge,8.1,71,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
23,24. Green Book,8.2,69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
24,25. Darkest Hour,7.4,75,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire."
